age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
22, ?, Some-college,10, Never-married, ?, Own-child, Black, Male,0,0,40, United-States, <=50K
38, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Local-gov, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K
43, Private, 9th,5, Separated, Handlers-cleaners, Unmarried, Black, Female,0,0,50, United-States, <=50K
45, Local-gov, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, ?, <=50K
33, Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
65, Private, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,3818,0,40, United-States, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,3464,0,40, Columbia, <=50K
41, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7688,0,45, United-States, >50K
46, Private, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
24, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,55, United-States, <=50K
38, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
50, Self-emp-inc, Bachelors,13, Widowed, Sales, Unmarried, White, Male,0,0,65, United-States, >50K
23, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,28, United-States, <=50K
50, State-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Self-emp-inc, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,24, United-States, <=50K
30, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Unmarried, White, Male,0,0,66, United-States, <=50K
31, Self-emp-inc, Bachelors,13, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,45, United-States, <=50K
48, Private, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,30, United-States, <=50K
20, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,8, Mexico, <=50K
